timestamp,open,high,low,close,volume
2024-07-27,97.66,102.92,97.02,101.08,607201.4
2024-07-28,101.07,101.14,97.86,98.66,358424.1
2024-07-29,98.67,106.34,98.66,104.92,675154.9
2024-07-30,104.93,106.66,102.54,105.12,772972.4
2024-07-31,105.13,112.32,103.98,107.44,1160314.0
2024-08-01,107.44,117.35,103.55,116.67,2729225.6
2024-08-02,116.69,118.0,106.8,110.3,2767169.4
2024-08-03,110.3,116.78,102.98,105.48,2712795.4
2024-08-04,105.47,112.05,96.76,97.09,2845746.2
2024-08-05,97.1,98.9,76.16,95.57,4224311.0
2024-08-06,95.58,107.88,95.25,103.52,2042679.2
2024-08-07,103.54,106.39,96.5,98.32,1723869.0
2024-08-08,98.31,103.86,95.14,101.38,1664270.1
2024-08-09,101.38,101.46,93.56,96.29,1004509.5
2024-08-10,96.29,97.1,92.44,93.25,547310.8
2024-08-11,93.26,96.13,90.76,91.14,765850.0
2024-08-12,91.13,97.07,90.16,95.57,1059553.4
2024-08-13,95.58,98.77,93.61,97.7,1017005.4
2024-08-14,97.69,106.72,96.15,105.94,1651597.5
2024-08-15,105.94,112.0,104.12,107.74,3289059.7
2024-08-16,107.75,114.82,105.65,112.59,2810451.3
2024-08-17,112.6,116.66,109.4,110.84,1454740.4
2024-08-18,110.84,113.33,109.26,111.31,1105105.2
2024-08-19,111.3,122.49,107.5,118.03,2318653.6
2024-08-20,118.04,132.2,117.51,128.8,2700008.3
2024-08-21,128.79,143.65,127.66,140.08,3036748.9
2024-08-22,140.07,141.89,133.17,135.73,1433632.3
2024-08-23,135.73,148.89,132.01,143.25,1969653.0
2024-08-24,143.25,143.37,135.18,136.99,1045296.9
2024-08-25,136.99,139.82,133.5,135.41,784078.2
2024-08-26,135.41,136.76,127.8,128.63,936687.6
2024-08-27,128.63,131.66,117.05,119.9,1171823.4
2024-08-28,119.9,128.9,118.21,125.45,1379376.3
2024-08-29,125.44,128.23,121.56,123.18,874437.7
2024-08-30,123.18,131.85,118.25,131.12,1191829.3
2024-08-31,131.12,134.0,127.91,129.6,960737.4
2024-09-01,129.59,130.0,120.09,120.57,1036182.7
2024-09-02,120.56,135.26,117.68,134.82,1433770.6
2024-09-03,134.84,135.25,118.6,118.72,2033200.6
2024-09-04,118.74,138.83,116.0,135.14,3850580.7
2024-09-05,135.13,137.19,127.34,128.81,1881422.7
2024-09-06,128.82,130.66,119.47,126.78,2258603.0
2024-09-07,126.77,130.74,124.0,125.05,1159012.9
2024-09-08,125.05,127.4,123.09,125.84,857734.0
2024-09-09,125.84,142.24,123.99,139.93,2259754.5
2024-09-10,139.93,152.9,136.12,150.49,2147041.9
2024-09-11,150.49,159.0,144.92,149.35,3686438.8
2024-09-12,149.35,151.8,141.8,144.95,2328557.8
2024-09-13,144.94,146.37,139.2,144.21,1700839.9
2024-09-14,144.22,144.24,137.4,139.98,906304.5
2024-09-15,139.99,149.84,139.77,143.29,1533776.3
2024-09-16,143.29,143.73,137.56,140.21,1266287.1
2024-09-17,140.2,147.44,136.64,140.48,1415411.6
2024-09-18,140.49,141.89,134.03,141.65,1317887.9
2024-09-19,141.66,153.12,141.0,150.25,1393332.5
2024-09-20,150.26,158.09,147.51,153.34,1006450.1
2024-09-21,153.33,154.67,149.75,154.51,502704.6
2024-09-22,154.51,162.89,154.04,162.06,1669511.1
2024-09-23,162.08,185.24,158.46,171.89,1909163.5
2024-09-24,171.9,173.56,163.62,166.07,1153522.2
2024-09-25,166.06,173.8,164.12,165.02,1035950.2
2024-09-26,165.01,170.0,162.93,165.08,908173.7
2024-09-27,165.09,174.0,163.41,170.28,1126656.8
2024-09-28,170.28,171.1,161.64,163.82,630260.4
2024-09-29,163.82,164.95,158.5,161.41,658708.9
2024-09-30,161.43,161.64,154.6,156.61,879177.0
2024-10-01,156.62,164.21,143.12,144.72,1451055.3
2024-10-02,144.71,150.13,136.7,139.06,1262141.1
2024-10-03,139.07,146.84,134.56,143.6,1822593.2
2024-10-04,143.6,152.78,141.42,151.23,1512159.6
2024-10-05,151.22,151.77,145.92,148.39,495936.9
2024-10-06,148.4,150.5,146.1,150.06,508739.8
2024-10-07,150.06,154.79,145.38,146.62,1097161.0
2024-10-08,146.61,147.65,141.66,143.05,777299.7
2024-10-09,143.05,144.13,138.39,139.37,938861.4
2024-10-10,139.37,145.15,136.24,140.61,1234375.1
2024-10-11,140.61,145.74,140.24,143.84,661503.4
2024-10-12,143.84,157.02,143.19,154.69,828505.3
2024-10-13,154.69,155.96,150.43,154.53,665182.3
2024-10-14,154.53,165.36,152.93,162.85,1063113.1
2024-10-15,162.86,165.93,152.71,156.7,1219194.7
2024-10-16,156.68,159.87,153.41,155.7,617824.1
2024-10-17,155.72,157.67,150.01,153.05,598221.0
2024-10-18,153.06,159.06,151.94,158.97,500029.2
2024-10-19,158.96,159.89,155.7,158.12,379853.1
2024-10-20,158.12,160.54,155.9,158.87,394696.3
2024-10-21,158.87,159.87,151.4,153.19,479054.5
2024-10-22,153.2,155.35,149.95,152.64,379455.5
2024-10-23,152.62,152.99,143.84,149.52,424845.1
2024-10-24,149.53,153.07,145.84,147.4,414718.9
2024-10-25,147.4,149.61,131.5,137.98,749984.1
2024-10-26,137.99,143.8,136.51,142.59,383506.6
2024-10-27,142.58,147.97,141.71,147.85,272547.1
2024-10-28,147.86,154.27,146.27,151.54,715067.5
2024-10-29,151.53,155.34,149.08,151.42,522268.0
2024-10-30,151.42,158.32,148.57,156.18,609742.2
2024-10-31,156.18,157.7,140.77,143.39,620196.4
2024-11-01,143.39,147.0,139.87,141.34,525907.9
2024-11-02,141.34,143.71,136.82,138.36,309653.7
2024-11-03,138.36,138.6,128.5,132.78,626792.9
2024-11-04,132.8,134.81,125.64,128.23,543512.0
2024-11-05,128.23,136.81,127.81,135.73,773967.2
2024-11-06,135.73,176.41,135.7,173.69,2457134.0
2024-11-07,173.69,191.0,173.27,183.55,2215354.2
2024-11-08,183.58,185.5,176.12,182.01,892560.5
2024-11-09,182.02,199.65,181.04,195.3,1237913.9
2024-11-10,195.29,198.86,181.5,190.19,1341957.1
2024-11-11,190.21,195.4,183.29,193.66,1089676.4
2024-11-12,193.67,197.0,172.7,179.43,1662441.8
2024-11-13,179.44,188.01,167.31,173.4,1335065.1
2024-11-14,173.4,177.05,155.74,158.3,1022358.9
2024-11-15,158.33,166.54,150.63,164.54,1365304.3
2024-11-16,164.54,175.91,163.1,169.07,866659.8
2024-11-17,169.07,172.65,159.5,162.13,795794.5
2024-11-18,162.13,172.98,161.31,170.89,962637.2
2024-11-19,170.89,173.67,158.64,162.1,901834.1
2024-11-20,162.08,168.32,153.29,156.83,917142.4
2024-11-21,156.83,171.07,151.85,169.39,1113505.4
2024-11-22,169.41,173.69,161.37,173.68,931148.7
2024-11-23,173.68,184.45,170.02,174.52,1340774.3
2024-11-24,174.51,183.8,160.0,171.29,1250312.1
2024-11-25,171.27,190.09,166.0,181.54,1809834.8
2024-11-26,181.55,184.46,165.55,181.75,1444783.9
2024-11-27,181.75,211.0,180.72,210.66,2100853.4
2024-11-28,210.66,211.52,197.7,200.3,882422.3
2024-11-29,200.31,202.53,194.88,199.12,639961.5
2024-11-30,199.12,212.99,197.71,211.99,1009386.5
2024-12-01,212.0,214.93,202.74,209.41,791632.2
2024-12-02,209.44,241.66,204.0,235.63,2430029.5
2024-12-03,235.63,249.68,221.84,240.58,2000267.8
2024-12-04,240.6,273.75,236.21,256.5,1800297.7
2024-12-05,256.52,267.24,240.58,247.86,1374970.6
2024-12-06,247.87,291.39,246.69,281.95,1425016.3
2024-12-07,281.94,297.61,278.32,282.46,819977.9
2024-12-08,282.45,285.4,274.01,282.99,616687.4
2024-12-09,282.99,284.38,220.0,260.53,1698010.3
2024-12-10,260.52,288.04,247.56,276.47,2441072.7
2024-12-11,276.47,307.47,259.56,302.76,1368672.8
2024-12-12,302.76,388.58,294.65,367.14,4157241.5
2024-12-13,367.13,390.88,352.98,377.55,2721299.4
2024-12-14,377.57,396.23,360.12,365.56,2006566.8
2024-12-15,365.56,381.4,354.9,368.47,1622822.1
2024-12-16,368.46,399.95,361.58,379.1,2801599.3
2024-12-17,379.09,387.32,356.53,361.24,1460341.7
2024-12-18,361.26,380.33,333.32,339.53,2254916.1
2024-12-19,339.53,350.5,298.83,314.83,2598621.8
2024-12-20,314.84,340.79,271.42,329.2,2591976.6
2024-12-21,329.21,343.89,294.47,299.0,1419772.5
2024-12-22,299.0,323.65,290.85,318.88,1331072.7
2024-12-23,318.88,388.94,308.7,383.43,2551276.0
2024-12-24,383.43,390.06,365.05,374.94,1429150.5
2024-12-25,374.96,385.98,364.38,369.87,927768.2
2024-12-26,369.87,371.76,330.31,337.56,961082.9
2024-12-27,337.58,352.0,320.27,323.84,1138376.0
2024-12-28,323.84,362.19,319.05,354.38,841469.1
2024-12-29,354.39,355.74,326.32,332.53,679624.7
2024-12-30,332.53,344.89,318.94,321.89,979769.6
2024-12-31,321.89,328.2,305.74,308.7,942281.9
2025-01-01,308.73,322.95,306.51,319.72,668566.7
2025-01-02,319.7,339.9,318.65,333.48,837202.4
2025-01-03,333.49,356.32,317.04,350.83,886647.0
2025-01-04,350.83,361.35,339.0,351.57,788876.7
2025-01-05,351.59,352.7,339.2,341.7,459221.2
2025-01-06,341.72,355.29,335.63,341.37,736720.5
2025-01-07,341.38,343.26,305.09,306.76,873811.7
2025-01-08,306.76,312.4,275.6,293.1,1078691.7
2025-01-09,293.1,299.72,273.07,281.01,900901.0
2025-01-10,281.01,300.77,277.01,285.58,957672.6
2025-01-11,285.61,293.7,279.93,287.12,379085.5
2025-01-12,287.12,295.95,284.57,287.75,403098.3
2025-01-13,287.76,296.81,256.24,289.42,1622167.0
2025-01-14,289.42,301.4,285.33,295.33,838500.8
2025-01-15,295.33,323.8,285.65,319.73,1049892.2
2025-01-16,319.73,321.33,304.93,311.0,820235.3
2025-01-17,310.99,336.45,310.7,334.95,805899.0
2025-01-18,334.94,341.91,306.04,315.39,985225.7
2025-01-19,315.4,348.19,292.47,309.27,1984077.0
2025-01-20,309.28,365.46,296.33,337.37,3512110.8
2025-01-21,337.38,378.63,326.82,370.74,2364292.8
2025-01-22,370.73,372.41,345.35,346.53,972103.2
2025-01-23,346.57,350.35,324.26,337.21,1212387.7
2025-01-24,337.24,357.49,327.8,334.8,914767.4
2025-01-25,334.8,338.31,325.74,326.25,525953.4
2025-01-26,326.25,336.16,315.63,316.35,531439.4
2025-01-27,316.31,320.26,287.48,304.88,1267482.0
2025-01-28,304.9,307.62,280.0,283.95,852841.7
2025-01-29,283.96,301.81,282.32,290.79,937161.6
2025-01-30,290.79,322.26,286.67,315.36,772106.4
2025-01-31,315.36,349.15,312.29,332.6,1608944.3
2025-02-01,332.6,333.47,294.92,295.95,787309.7
2025-02-02,295.96,304.54,245.16,258.22,1352832.0
2025-02-03,258.26,285.0,191.99,276.29,3067124.0
2025-02-04,276.3,278.19,248.9,271.99,1583378.4
2025-02-05,272.0,283.13,255.85,259.57,959376.8
2025-02-06,259.57,266.69,239.0,241.32,825840.2
2025-02-07,241.32,262.01,230.89,237.93,1014828.4
2025-02-08,237.93,241.77,230.91,238.66,599969.5
2025-02-09,238.65,252.6,229.64,241.13,786087.3
2025-02-10,241.13,258.07,234.28,252.48,823838.3
2025-02-11,252.49,262.53,241.77,243.56,703109.1
2025-02-12,243.57,260.97,231.57,252.69,806202.5
2025-02-13,252.7,258.07,246.31,256.24,724888.1
2025-02-14,256.24,269.96,252.9,262.47,570724.4
2025-02-15,262.47,263.54,249.48,253.23,303424.2
2025-02-16,253.23,258.92,249.8,253.72,414020.0
2025-02-17,253.75,278.52,249.36,264.45,1151989.5
2025-02-18,264.45,266.02,241.53,249.42,887074.6
2025-02-19,249.44,258.27,246.57,252.88,622921.6
2025-02-20,252.89,263.35,250.9,261.14,590844.4
2025-02-21,261.14,268.99,238.3,242.6,918177.9
2025-02-22,242.59,251.49,238.8,246.98,493308.0
2025-02-23,246.97,254.16,242.83,247.49,376516.1
2025-02-24,247.5,249.2,205.0,210.63,1014514.9
2025-02-25,210.62,213.46,189.37,205.04,1735893.4
2025-02-26,205.04,211.5,192.01,202.48,1280578.4
2025-02-27,202.49,210.0,196.54,203.86,750689.7
2025-02-28,203.86,204.42,178.1,192.13,1423059.4
2025-03-01,192.14,196.96,183.33,194.94,724427.3
2025-03-02,194.94,226.93,190.0,223.38,1295436.7
2025-03-03,223.39,224.34,177.64,180.85,1377250.2
2025-03-04,180.86,216.79,167.39,206.53,3188737.0
2025-03-05,206.53,226.24,204.19,220.74,2084232.9
2025-03-06,220.75,239.55,208.06,208.4,1939166.4
2025-03-07,208.4,212.02,195.17,196.54,1632177.3
2025-03-08,196.54,199.21,185.01,195.64,1106842.9
2025-03-09,195.64,198.11,176.18,178.49,1402346.8
2025-03-10,178.5,201.91,175.16,180.27,2164259.9
2025-03-11,180.28,185.93,166.4,181.98,2174255.5
2025-03-12,181.97,184.24,163.7,174.72,1870830.9
2025-03-13,174.72,176.4,160.01,162.74,1617334.2
2025-03-14,162.73,177.24,161.92,173.06,1166089.8
2025-03-15,173.06,177.28,171.67,172.87,669638.2
2025-03-16,172.87,173.97,163.15,164.59,881083.0
2025-03-17,164.59,177.14,164.4,174.63,840573.8
2025-03-18,174.63,175.24,164.57,170.0,785467.1
2025-03-19,170.0,184.58,169.55,182.42,1216839.9
2025-03-20,182.43,183.05,171.42,178.71,951491.7
2025-03-21,178.71,183.12,173.89,178.19,706518.8
2025-03-22,178.2,183.64,178.14,179.66,504431.5
2025-03-23,179.66,186.46,179.3,185.01,629924.4
2025-03-24,185.0,194.94,181.12,190.66,812639.0
2025-03-25,190.66,192.54,185.17,186.56,644621.8
2025-03-26,186.58,190.25,175.08,177.33,973658.4
2025-03-27,177.33,186.07,176.94,184.65,740547.9
2025-03-28,184.66,186.9,168.27,175.76,977915.6
2025-03-29,175.75,180.61,165.66,168.02,1081408.9
2025-03-30,168.02,169.5,161.2,163.53,842545.5
2025-03-31,163.55,164.54,151.65,159.57,1257460.4
2025-04-01,159.56,171.43,159.06,165.95,951562.9
2025-04-02,165.96,168.92,149.42,150.16,1567656.7
2025-04-03,150.13,157.2,146.22,151.06,996328.8
2025-04-04,151.06,153.99,144.27,151.92,1223488.0
2025-04-05,151.93,155.45,149.41,152.45,599108.2
2025-04-06,152.45,152.55,126.26,128.96,1491834.9
2025-04-07,128.95,136.18,114.02,131.97,2888033.1
2025-04-08,131.96,136.09,123.45,125.26,1679045.2
2025-04-09,125.27,145.06,119.77,143.06,1795164.2
2025-04-10,143.09,143.31,128.12,131.84,1222500.2
2025-04-11,131.84,139.36,131.25,136.37,1022514.4
2025-04-12,136.38,150.14,133.67,148.0,857886.8
2025-04-13,148.01,148.28,136.41,139.04,924329.8
2025-04-14,139.05,147.19,136.73,137.56,984867.3
2025-04-15,137.56,142.13,133.45,134.11,900374.1
2025-04-16,134.11,137.4,129.64,133.91,1011338.4
2025-04-17,133.91,141.51,133.74,138.85,675087.9
2025-04-18,138.86,141.09,137.07,138.3,525354.6
2025-04-19,138.3,142.9,137.83,141.9,507522.4
2025-04-20,141.9,143.48,136.69,140.87,566245.4
2025-04-21,140.87,145.98,138.96,142.79,824689.1
2025-04-22,142.8,159.16,139.63,158.1,1195744.8
2025-04-23,158.11,168.77,157.68,168.0,1309097.1
2025-04-24,168.0,170.67,158.27,167.83,1169726.0
2025-04-25,167.83,170.56,162.79,166.39,1217224.3
2025-04-26,166.4,173.25,164.32,172.87,906330.2
2025-04-27,172.88,179.28,165.3,166.49,1055115.9
2025-04-28,166.49,174.81,161.5,166.16,1343104.5
2025-04-29,166.17,171.19,163.21,165.48,795605.7
2025-04-30,165.48,166.91,155.34,164.1,748751.4
2025-05-01,164.1,179.23,164.07,172.88,906009.3
2025-05-02,172.89,179.1,171.79,174.53,629834.5
2025-05-03,174.53,181.05,169.38,177.97,751631.6
2025-05-04,177.98,178.92,170.75,170.99,890592.4
2025-05-05,171.0,181.01,169.53,176.79,1092779.6
2025-05-06,176.78,178.93,163.08,177.79,1288986.9
2025-05-07,177.81,179.96,167.33,171.94,984284.6
2025-05-08,171.95,208.6,171.9,206.18,1872963.3
2025-05-09,206.18,220.56,202.46,211.18,1430210.5
2025-05-10,211.18,230.21,208.75,228.45,1213593.7
2025-05-11,228.44,230.41,213.76,221.05,953275.6
2025-05-12,221.05,229.56,211.91,221.81,1293194.5
2025-05-13,221.81,238.27,210.28,236.27,1044180.7
2025-05-14,236.27,239.14,223.78,229.42,788440.4
2025-05-15,229.43,235.27,216.58,223.74,1340616.9
2025-05-16,223.76,245.08,221.35,230.83,1277071.3
2025-05-17,230.81,231.95,219.62,222.05,860841.5
2025-05-18,222.06,244.0,218.32,231.97,1284522.8
2025-05-19,231.97,249.85,211.8,247.68,1590030.0
2025-05-20,247.69,270.49,246.31,259.3,3114753.6
2025-05-21,259.31,261.96,243.08,247.42,1798551.4
2025-05-22,247.44,259.9,246.38,256.77,1217062.7
2025-05-23,256.77,264.09,239.1,256.03,1908942.3
2025-05-24,256.05,276.86,250.34,261.68,1849474.5
2025-05-25,261.68,270.6,256.23,269.14,1547608.7
2025-05-26,269.15,276.16,259.08,267.36,1321798.4
2025-05-27,267.39,282.84,262.84,271.47,1284577.8
2025-05-28,271.46,274.54,260.18,264.88,993960.3
2025-05-29,264.88,274.27,248.82,249.97,1309084.0
2025-05-30,249.96,256.24,239.8,250.79,1330790.5
2025-05-31,250.79,254.33,242.0,246.94,1172996.1
2025-06-01,246.93,254.44,237.43,245.97,1101726.0
2025-06-02,245.99,258.02,239.04,257.66,1052405.5
2025-06-03,257.64,272.95,254.1,266.33,1108736.7
2025-06-04,266.3,275.82,262.68,263.97,1155985.3
2025-06-05,263.98,266.82,240.0,241.55,1462811.9
2025-06-06,241.55,254.96,239.64,250.79,1011432.3
2025-06-07,250.79,260.44,249.2,257.36,621168.7
2025-06-08,257.36,257.46,252.04,253.68,541034.1
2025-06-09,253.68,285.61,250.18,283.24,1178423.8
2025-06-10,283.25,317.84,282.69,308.17,2719343.2
2025-06-11,308.16,325.43,300.19,303.65,1593809.3
2025-06-12,303.66,309.08,288.14,293.8,1589219.7
2025-06-13,293.81,294.1,262.51,290.99,2861044.2
2025-06-14,290.98,291.05,268.0,275.04,1285877.0
2025-06-15,275.05,278.82,266.29,274.82,868266.0
2025-06-16,274.82,293.72,271.65,275.05,1646172.9
2025-06-17,275.04,283.62,261.99,266.46,1648887.6
2025-06-18,266.47,269.93,255.0,258.9,1289568.1
2025-06-19,258.9,266.31,248.67,255.46,1293792.7
2025-06-20,255.5,264.34,241.88,247.22,1514293.6
2025-06-21,247.22,249.93,226.77,234.55,1122760.8
2025-06-22,234.58,238.82,212.82,227.78,1960840.4
2025-06-23,227.78,258.18,221.61,256.89,1941329.4
2025-06-24,256.86,269.5,252.87,263.95,1458965.9
2025-06-25,263.95,270.87,254.19,255.81,1050824.8
2025-06-26,255.81,265.4,248.93,250.19,1194356.7
2025-06-27,250.19,266.56,248.53,259.12,1238882.7
2025-06-28,259.12,261.8,252.98,259.76,579815.7
2025-06-29,259.77,280.69,256.26,278.42,1114771.0
2025-06-30,278.4,284.82,268.35,274.3,1159254.2
2025-07-01,274.32,277.31,259.36,259.76,864220.1
2025-07-02,259.76,283.41,257.02,276.05,1297562.0
2025-07-03,276.04,285.54,272.72,279.27,1216777.4
2025-07-04,279.25,282.85,258.38,265.84,1072079.2
2025-07-05,265.84,276.58,264.86,273.37,706140.2
2025-07-06,273.38,291.71,269.69,287.18,770311.4
2025-07-07,287.18,290.67,277.41,283.06,1048530.8
