Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Capital_Acumulado,PnL_USD
MTF_1345,LONG,2025-07-31 13:45:00,269.16,263.77680000000004,278.5806,CLOSED,-0.019999999999999952,939.6661534158642,-19.1768602737931
MTF_0015,LONG,2025-08-01 00:15:00,259.6,254.40800000000002,268.686,CLOSED,-0.020000000000000025,920.8728303475468,-18.793323068317306
MTF_0645,LONG,2025-08-02 06:45:00,251.37,246.3426,260.16794999999996,CLOSED,-0.02,902.4553737405959,-18.417456606950935
MTF_1900,LONG,2025-08-02 19:00:00,247.63,242.67739999999998,256.29704999999996,CLOSED,0.034999999999999844,934.0413118215166,31.585938080920712
MTF_1615,LONG,2025-08-15 16:15:00,296.28,290.35439999999994,306.64979999999997,CLOSED,0.034999999999999996,966.7327577352697,32.69144591375308
MTF_1500,LONG,2025-08-19 15:00:00,279.59,273.9982,289.37564999999995,CLOSED,0.03499999999999991,1000.5684042560041,33.83564652073436
MTF_0130,LONG,2025-08-27 01:30:00,329.55,322.959,341.08425,CLOSED,-0.020000000000000025,980.557036170884,-20.011368085120107
MTF_0930,LONG,2025-08-29 09:30:00,306.35,300.223,317.07225,CLOSED,0.03499999999999991,1014.8765324368649,34.31949626598085
MTF_1230,LONG,2025-09-06 12:30:00,299.5,293.51,309.98249999999996,CLOSED,0.034999999999999865,1050.397211072155,35.52067863529013
MTF_0300,LONG,2025-09-16 03:00:00,296.51,290.5798,306.88784999999996,CLOSED,-0.020000000000000046,1029.389266850712,-21.007944221443147
MTF_1030,LONG,2025-09-17 10:30:00,294.79,288.8942,305.10765,CLOSED,0.03499999999999986,1065.4178911904867,36.02862433977477
MTF_1000,LONG,2025-09-20 10:00:00,295.8,289.884,306.15299999999996,CLOSED,-0.01999999999999999,1044.109533366677,-21.30835782380972
MTF_0915,LONG,2025-09-22 09:15:00,264.55,259.259,273.80924999999996,CLOSED,0.034999999999999816,1080.6533670345104,36.5438336678335
MTF_0145,LONG,2025-10-09 01:45:00,283.87,278.1926,293.80545,CLOSED,-0.01999999999999992,1059.0402996938203,-21.613067340690122
MTF_2115,LONG,2025-10-11 21:15:00,228.41,223.8418,236.40434999999997,CLOSED,0.034999999999999865,1096.1067101831038,37.06641048928357
MTF_0215,LONG,2025-10-19 02:15:00,213.12,208.8576,220.5792,CLOSED,0.03499999999999991,1134.4704450395125,38.36373485640854
MTF_2130,LONG,2025-10-28 21:30:00,227.77,223.21460000000002,235.74195,CLOSED,-0.019999999999999962,1111.7810361387224,-22.689408900790205
MTF_1115,LONG,2025-10-30 11:15:00,224.28,219.7944,232.1298,CLOSED,-0.02000000000000002,1089.545415415948,-22.23562072277447
MTF_1245,LONG,2025-10-30 12:45:00,219.3,214.91400000000002,226.97549999999998,CLOSED,-0.01999999999999998,1067.754507107629,-21.790908308318937
MTF_0445,LONG,2025-11-03 04:45:00,216.57,212.2386,224.14995,CLOSED,-0.02000000000000001,1046.3994169654763,-21.35509014215259
MTF_1600,LONG,2025-11-03 16:00:00,202.51,198.4598,209.59784999999997,CLOSED,-0.01999999999999995,1025.471428626167,-20.927988339309472
MTF_0745,LONG,2025-11-04 07:45:00,193.5,189.63,200.27249999999998,CLOSED,0.03499999999999989,1061.3629286280827,35.89150000191573
MTF_2145,LONG,2025-11-15 21:45:00,178.1,174.53799999999998,184.3335,CLOSED,-0.020000000000000066,1040.135670055521,-21.227258572561723
MTF_1830,LONG,2025-11-17 18:30:00,169.27,165.8846,175.19445,CLOSED,-0.020000000000000025,1019.3329566544105,-20.802713401110445
